Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.568,2.8532114,0.0014967154,0.02555113,0.1,0.2446837,1.2549636e-31,0.012824165,0.0064120824
2.57,2.8692942,0.0014932418,0.025641905,0.1,0.24439959,2.719042e-19,0.012824165,0.0064120824
2.572,2.885434,0.0014897769,0.025732674,0.1,0.24411587,9.067466e-32,0.012824165,0.0064120824
2.574,2.9016309,0.0014863206,0.025823437,0.1,0.24383256,1.6201762e-31,0.012824165,0.0064120824
2.576,2.9178846,0.0014828732,0.02591419,0.1,0.24354962,9.575614e-32,0.012824165,0.0064120824
2.578,2.9341955,0.0014794344,0.026004938,0.1,0.24326704,3.1598722e-31,0.012824165,0.0064120824
2.58,2.9505634,0.0014760043,0.026095677,0.1,0.24298488,1.4970495e-31,0.012824165,0.0064120824
2.582,2.9669883,0.0014725827,0.02618641,0.1,0.24270308,2.0813153e-19,0.012824165,0.0064120824
2.584,2.9834702,0.0014691697,0.026277136,0.1,0.24242166,1.2635538e-30,0.012824165,0.0064120824
2.586,3.000009,0.0014657653,0.026367854,0.1,0.24214062,1.2662043e-31,0.012824165,0.0064120824
2.588,3.0166051,0.0014623695,0.026458565,0.1,0.24185996,2.6635005e-31,0.012824165,0.0064120824
2.59,3.033258,0.001458982,0.026549269,0.1,0.24157967,5.4857253e-32,0.012824165,0.0064120824
2.592,3.0499678,0.001455603,0.026639964,0.1,0.24129976,5.4465643e-32,0.012824165,0.0064120824
2.594,3.0667348,0.0014522325,0.026730653,0.1,0.24102023,2.7301253e-32,0.012824165,0.0064120824
2.596,3.0835586,0.0014488703,0.026821336,0.1,0.24074107,7.498268e-33,0.012824165,0.0064120824
2.598,3.1004393,0.0014455165,0.02691201,0.1,0.24046227,9.5793944e-32,0.012824165,0.0064120824
2.6,3.1173773,0.001442171,0.027002677,0.1,0.24018386,9.522264e-32,0.012824165,0.0064120824
2.602,3.134372,0.001438834,0.027093338,0.1,0.2399058,3.9104174e-31,0.012824165,0.0064120824
