Time(s) " gENSAL.delta" " gENSAL.PELEC" " gENSAL.PMECH" " gENSAL.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.929999 " 36.6408" " 0.4" " 0.4" " 1.31255e-08" " 1" " 0.991994" " 1" " 0.995984"
0.934999 " 36.6408" " 0.4" " 0.4" " 1.31952e-08" " 1" " 0.991994" " 1" " 0.995984"
0.939999 " 36.6408" " 0.4" " 0.4" " 1.32648e-08" " 1" " 0.991994" " 1" " 0.995984"
0.944999 " 36.6408" " 0.4" " 0.4" " 1.33344e-08" " 1" " 0.991994" " 1" " 0.995984"
0.949999 " 36.6408" " 0.4" " 0.4" " 1.34041e-08" " 1" " 0.991994" " 1" " 0.995984"
0.954999 " 36.6408" " 0.4" " 0.4" " 1.34737e-08" " 1" " 0.991994" " 1" " 0.995984"
0.959999 " 36.6408" " 0.4" " 0.4" " 1.35433e-08" " 1" " 0.991994" " 1" " 0.995984"
0.964999 " 36.6408" " 0.4" " 0.4" " 1.3613e-08" " 1" " 0.991994" " 1" " 0.995984"
0.969999 " 36.6408" " 0.4" " 0.4" " 1.36826e-08" " 1" " 0.991994" " 1" " 0.995984"
0.974999 " 36.6408" " 0.4" " 0.4" " 1.37522e-08" " 1" " 0.991994" " 1" " 0.995984"
0.979999 " 36.6408" " 0.4" " 0.4" " 1.38218e-08" " 1" " 0.991994" " 1" " 0.995984"
0.984999 " 36.6408" " 0.4" " 0.4" " 1.38915e-08" " 1" " 0.991994" " 1" " 0.995984"
0.989999 " 36.6408" " 0.4" " 0.4" " 1.39611e-08" " 1" " 0.991994" " 1" " 0.995984"
0.994999 " 36.6408" " 0.4" " 0.4" " 1.40307e-08" " 1" " 0.991994" " 1" " 0.995984"
0.999999 " 36.6408" " 0.4" " 0.4" " 1.41004e-08" " 1" " 0.991994" " 1" " 0.995984"
1.005 " 36.6408" " 0.4" " 0.4" " 1.417e-08" " 1" " 0.991994" " 1" " 0.995984"
1.01 " 36.6408" " 0.4" " 0.4" " 1.42396e-08" " 1" " 0.991994" " 1" " 0.995984"
1.015 " 36.6408" " 0.4" " 0.4" " 1.43093e-08" " 1" " 0.991994" " 1" " 0.995984"
1.02 " 36.6408" " 0.4" " 0.4" " 1.43789e-08" " 1" " 0.991994" " 1" " 0.995984"
1.025 " 36.6408" " 0.4" " 0.4" " 1.44485e-08" " 1" " 0.991994" " 1" " 0.995984"
1.03 " 36.6408" " 0.4" " 0.4" " 1.45182e-08" " 1" " 0.991994" " 1" " 0.995984"
1.035 " 36.6408" " 0.4" " 0.4" " 1.45878e-08" " 1" " 0.991994" " 1" " 0.995984"
1.04 " 36.6408" " 0.4" " 0.4" " 1.46574e-08" " 1" " 0.991994" " 1" " 0.995984"
1.045 " 36.6408" " 0.4" " 0.4" " 1.47271e-08" " 1" " 0.991994" " 1" " 0.995984"
1.05 " 36.6408" " 0.4" " 0.4" " 1.47967e-08" " 1" " 0.991994" " 1" " 0.995984"
1.055 " 36.6408" " 0.4" " 0.4" " 1.48663e-08" " 1" " 0.991994" " 1" " 0.995984"
1.06 " 36.6408" " 0.4" " 0.4" " 1.49359e-08" " 1" " 0.991994" " 1" " 0.995984"
1.065 " 36.6408" " 0.4" " 0.4" " 1.50056e-08" " 1" " 0.991994" " 1" " 0.995984"
1.07 " 36.6408" " 0.4" " 0.4" " 1.50752e-08" " 1" " 0.991994" " 1" " 0.995984"
1.075 " 36.6408" " 0.4" " 0.4" " 1.51448e-08" " 1" " 0.991994" " 1" " 0.995984"
1.08 " 36.6408" " 0.4" " 0.4" " 1.52145e-08" " 1" " 0.991994" " 1" " 0.995984"
1.085 " 36.6408" " 0.4" " 0.4" " 1.52841e-08" " 1" " 0.991994" " 1" " 0.995984"
1.09 " 36.6408" " 0.4" " 0.4" " 1.53537e-08" " 1" " 0.991994" " 1" " 0.995984"
1.095 " 36.6408" " 0.4" " 0.4" " 1.54234e-08" " 1" " 0.991994" " 1" " 0.995984"
1.1 " 36.6408" " 0.4" " 0.4" " 1.5493e-08" " 1" " 0.991994" " 1" " 0.995984"
1.105 " 36.6408" " 0.4" " 0.4" " 1.55626e-08" " 1" " 0.991994" " 1" " 0.995984"
1.11 " 36.6408" " 0.4" " 0.4" " 1.56323e-08" " 1" " 0.991994" " 1" " 0.995984"
1.115 " 36.6408" " 0.4" " 0.4" " 1.57019e-08" " 1" " 0.991994" " 1" " 0.995984"
1.12 " 36.6408" " 0.4" " 0.4" " 1.57715e-08" " 1" " 0.991994" " 1" " 0.995984"
1.125 " 36.6408" " 0.4" " 0.4" " 1.58412e-08" " 1" " 0.991994" " 1" " 0.995984"
1.13 " 36.6408" " 0.4" " 0.4" " 1.59108e-08" " 1" " 0.991994" " 1" " 0.995984"
1.135 " 36.6408" " 0.4" " 0.4" " 1.59804e-08" " 1" " 0.991994" " 1" " 0.995984"
1.14 " 36.6408" " 0.4" " 0.4" " 1.60501e-08" " 1" " 0.991994" " 1" " 0.995984"
1.145 " 36.6408" " 0.4" " 0.4" " 1.61197e-08" " 1" " 0.991994" " 1" " 0.995984"
1.15 " 36.6408" " 0.4" " 0.4" " 1.61893e-08" " 1" " 0.991994" " 1" " 0.995984"
1.155 " 36.6408" " 0.4" " 0.4" " 1.62589e-08" " 1" " 0.991994" " 1" " 0.995984"
1.16 " 36.6408" " 0.4" " 0.4" " 1.63286e-08" " 1" " 0.991994" " 1" " 0.995984"
1.165 " 36.6408" " 0.4" " 0.4" " 1.63982e-08" " 1" " 0.991994" " 1" " 0.995984"
1.17 " 36.6408" " 0.4" " 0.4" " 1.64678e-08" " 1" " 0.991994" " 1" " 0.995984"
1.175 " 36.6408" " 0.4" " 0.4" " 1.65375e-08" " 1" " 0.991994" " 1" " 0.995984"
